items_edmPreview,items_title,items_dcCreator,items_dataProvider,items_country,items_type,items_edmTimespanLabelLangAware_def,items_id
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000204402%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,[El encantamiento de Dulcinea],"Anónimo francés, s. XVIII",National Library of Spain,spain,IMAGE,1750,/2022717/bnesearch_detalle_bdh0000204402
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000204401%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,[La aventura de Clavileño],"Anónimo francés, s. XVIII",National Library of Spain,spain,IMAGE,1750,/2022717/bnesearch_detalle_bdh0000204401
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000202950%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,[Aventura de Clavileño] [Material gráfico] [Aventura de Clavileño],http://datos.bne.es/resource/XX1009781 http://datos.bne.es/resource/XX3383563 http://datos.bne.es/resource/XX1182932,National Library of Spain,spain,IMAGE,1728,/2022717/bnesearch_detalle_bdh0000202950
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000185718%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"Ecole de cavalerie [Texto impreso] : contenant la connoissance, l'instruction et la conservation du cheval","La Guérinière, François Robichon de, 1688-1751 http://data.europeana.eu/agent/base/87785",National Library of Spain,spain,TEXT,1769,/2022717/bnesearch_detalle_bdh0000185718
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000161651%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,La Gran Duquesa de Gerolstien [sic].. Canción del General Bum Bum [Música notada] [La Grande-Duchesse de Gérolstein.. À cheval sur la discipline] La Gran Duquesa de Gerolstein,http://datos.bne.es/resource/XX1723475 http://datos.bne.es/resource/XX980668,National Library of Spain,spain,TEXT,1867,/2022717/bnesearch_detalle_bdh0000161651
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000159729%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,Overtura de la ópera cómica El caballero de bronce del Mtro. Auber [Le cheval de bronze.. Obertura],http://datos.bne.es/resource/XX897842,National Library of Spain,spain,TEXT,1891,/2022717/bnesearch_detalle_bdh0000159729
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000138846%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,Esser regazza [Música notada] :]en la ópera Il cavallo di bronze [Le cheval de bronze.. Esser regazza],http://datos.bne.es/resource/XX897842,National Library of Spain,spain,TEXT,1884,/2022717/bnesearch_detalle_bdh0000138846
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000101329%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"Canción del general Bum Bum [Música notada] : Pif, paf, puf : en la zarzuela La gran duquesa de Gérolstein [La Grande-Duchesse de Gérolstein.. À cheval sur la discipline]",http://datos.bne.es/resource/XX1723475 http://datos.bne.es/resource/XX1639643,National Library of Spain,spain,TEXT,1869,/2022717/bnesearch_detalle_bdh0000101329
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000089328%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,L'Exercice de monter á cheval [Texto impreso] : ensemble de Mancige royal : (avec figures),"Pluvinel, Antoine de, 1552-1620",National Library of Spain,spain,TEXT,1660,/2022717/bnesearch_detalle_bdh0000089328
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000086188%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"Tales of the cordelier metamorphosed, as narrated in a manuscript from the Borromeo Collection; and in the Cordelier Cheval of M. Piron [Texto impreso] : with translations","Bulmer, W. Nicol, William",National Library of Spain,spain,TEXT,1821,/2022717/bnesearch_detalle_bdh0000086188
