items_edmPreview,items_id,items_type,items_title,items_edmTimespanLabelLangAware_def,items_dcCreator,items_dataProvider,items_country
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802688k.thumbnail.jpg&size=LARGE&type=SOUND,/9200516/ark__12148_bpt6k8802688k,SOUND,GOLDEN AWARD SONGS / Erwin HALLETZ et son Orchestre,1959,"Williams, Clarence (1898-1965). Auteur ou responsable intellectuel Van Heusen, Jimmy (1913-1990). Auteur ou responsable intellectuel Styne, Jule (1905-1994). Auteur ou responsable intellectuel Loesser, Frank (1910-1969). Auteur ou responsable intellectuel Kresa, Helmy. Auteur ou responsable intellectuel Hoffman. Auteur ou responsable intellectuel Glenn, Artie. Auteur ou responsable intellectuel Fisher, Fred (1875-1942). Auteur ou responsable intellectuel Fain, Sammy (1902-1989). Auteur ou responsable intellectuel Brown, Lew (1893-1958). Auteur ou responsable intellectuel Berlin, Irving (1888-1989). Auteur ou responsable intellectuel Halletz, Erwin (1923-....). Direction d'orchestre http://data.europeana.eu/agent/base/8 http://data.europeana.eu/agent/base/64921 http://data.europeana.eu/agent/base/60109 http://data.europeana.eu/agent/base/61503 http://data.europeana.eu/agent/base/147872 http://data.europeana.eu/agent/base/66146 http://data.europeana.eu/agent/base/62544 http://data.europeana.eu/agent/base/60459",Bibliothèque nationale de France,france
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmuseum.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FHalsman%7EB99_1669_1.jpg&size=LARGE&type=IMAGE,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_220221,IMAGE,Dalí Mona Lisa,1953,"Philippe Halsman, 1906, Riga, Latvia - 1979, New York","The Israel Museum, Jerusalem",israel
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FB99_1615.jpg&size=LARGE&type=IMAGE,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219738,IMAGE,L.H.O.O.Q Shaved,1965,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France","The Israel Museum, Jerusalem",israel
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FDuchamp%7EB99_1616.jpg&size=LARGE&type=IMAGE,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219739,IMAGE,Picabia's Mona Lisa,1965,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France","The Israel Museum, Jerusalem",israel
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fpbc.gda.pl%2FContent%2F19793%2F05.mp3&size=LARGE&type=SOUND,/0940417/_nnbhn5d,SOUND,Leonardo i Mona Lisa [dokument dźwiękowy],1981,"Balcerowicz, Jerzy",Pomorska Biblioteka Cyfrowa,poland
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F34809%2Frysw190.jpg&size=LARGE&type=IMAGE,/0940409/_nn0Wq58,IMAGE,Mona Lisa w sleepingu,1939,"Janisch, Jerzy (1901-1962)",Cyfrowe Muzeum Narodowe w Warszawie,poland
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmbc.malopolska.pl%2FContent%2F5789%2Fp0025.djvu&size=LARGE&type=TEXT,/0940433/_nnhdRT1,TEXT,Rendez-vous z Mona Lisą,2007,"Piątkowski, Jerzy (1943- )",Małopolska Biblioteka Cyfrowa,poland
,/2048441/item_CMR3LPDTGATOJV4LBQGS4VVCZ5TS4SL2,TEXT,Mona Lisa is always happy - and only sometimes sad,2017,"Liaci, Emanuela Institut für Grenzgebiete der Psychologie und Psychohygiene",Deutsche Nationalbibliothek,germany
,/2048425/item_DQSI2IBLW263HBZK6S2WLDFFXUTVX6BB,TEXT,Das Mona Lisa Problem - methodische Anmerkungen zur Verbalisierung von 'Sozial Leisem',2004,"Meier, Michael",GESIS - Leibniz-Institut für Sozialwissenschaften. Bibliothek Köln,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005558.jpg&size=LARGE&type=IMAGE,/2048411/item_623QAD4PD3EVYYJSGA23CYBEIUSCSJ2N,IMAGE,"Museum Louvre, Mona Lisa hinter Panzerglas, im Visier von Amateur-Digitalfotografen aus aller Welt",2005,"Gerig, Uwe (Fotograf)",Deutsche Fotothek,germany
